"no","name","category","imageSrc","itemNumber","upc","bin","price","unitPrice","casePrice","unitsPerCase","averageUnitWeight","averageCaseWeight","onSale","volumePriceText"
71,"Party Essentials - 2 oz Clear Plastic Shot Glasses - 50 ct pkgs","Paper & Disposables","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/6/1/61zd_y9stl._sy355_.jpg","2070536","9838208030","201",,"4.08","81.67",20,,,false,
72,"817 Elephant - Thai Hom Mali Jasmine Rice, 50 lb","Dry Groceries","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/7/4/74504200133.jpg","490145","74504200133","1818","46.60",,,,,,false,
73,"Crush - Peach - 2/12 Pk","Beverages & Mixers","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/7/8/7800001402.png","441694","7800001402","209","10.38",,,,,,false,
74,"Hunt’s - 100% Natural Tomato Ketchup - 12/20 oz","Retail Groceries (Food)","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/2/7/2700038143.jpeg","850125","2700038143","4072","17.42",,,,,,false,
75,"James Farm - Sandwich Cut Swiss Cheese","Dairy & Perishables","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/0/0/0000_1.png","40000","20400000000","302",,"21.28","106.40",,7,35,false,"$3.04 per pound."
76,"Del Monte - Mixed Vegetables - 12/14.5 oz Can","Retail Groceries (Food)","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/2/4/2400083074.jpeg","870207","2400083074","3045","23.68",,,,,,false,
77,"Job Select - XL Powder Free Black Nitrile Gloves - 100 Ct","Paper & Disposables","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/7/6/76325600104.jpg","1120258","76325600104","1907",,"8.78","76.14",10,,,false,
78,"Cracker Jacks  - 30 ct","Candy & Snacks","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/c/r/cracker_jacks.jpg","234236","2840070073","1027","12.46",,,,,,false,
79,"Nissin Top Ramen Noodles - Shrimp Flavor - 24/3 oz Packet","Retail Groceries (Food)","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/7/0/7066201310.jpg","20014","7066201310","3029","9.75",,,,,,false,
80,"Sunset - 13X7X17 Brown Paper Shopping Bag - 250/Bundle","Paper & Disposables","https://member.restaurantdepot.com/media/catalog/product/cache/fb4e90e12cd65f13d437a0e84afbe4b5/c/a/carinasbag.jpg","3090005","76069503012","5021","49.35",,,,,,false,
